method,bound_ratio_min,bound_ratio_mean,bound_ratio_max,norm_0_ratio_min,norm_0_ratio_mean,norm_0_ratio_max,norm_1_ratio_min,norm_1_ratio_mean,norm_1_ratio_max,rank_ratio_min,rank_ratio_mean,rank_ratio_max,m_max
Gurobi,0.9311111111111111,0.9676126324417124,0.9924489795918368,0.4967291757522896,0.5121455697875259,0.5295617899373986,0.7975816691751356,0.8181422806610013,0.8457339088314888,1.8,1.9513993372917466,2.0,540
DRS_Opt_Eps,0.9333333333333333,0.9660871375930228,0.9928571428571429,0.4968745457188545,0.5093737297416281,0.5224752630752316,0.7975818962612776,0.8212679069321285,0.8457368725631008,1.8,1.9403091789163216,2.0,340
DRS_Opt_r0,0.9388888888888889,0.9684404236293443,0.9940816326530613,0.49701991568541937,0.5131340524005974,0.5296417406877364,0.7975825959675047,0.8168997380549362,0.845745538738583,1.8,1.9552946048994293,2.0,600
DRS_FP_Eps,0.9377777777777778,0.969218163168722,0.9948979591836735,0.4989097252507632,0.5135421459937053,0.5296337456127026,0.7975843390054574,0.8168997929230134,0.8457444351795901,1.8,1.9552946048994293,2.0,600
DRS_FP_r0,0.9333333333333333,0.9691520555330415,0.9957142857142857,0.49832824538450354,0.5135109000293923,0.5297216914380741,0.7975831475162397,0.8169032164975776,0.8457387644312296,1.8,1.9548184144232388,2.0,600
