pri_res,dual_res,Hh_norm,H_norm
0.7737546905991801,2.7136475442192104e-13,5.310701440174429,5.778918373147286
0.14676018444333844,1.9509625411394138e-13,5.7767886558412975,5.801601352533679
0.1172988002901548,1.9444707917865266e-13,5.800414798649448,5.8248892069448255
0.11084642485624698,1.9029421285883836e-13,5.823951622227732,5.847265468884088
0.10127325077512338,1.910164760175657e-13,5.8466013500431195,5.870130811354766
0.09508686244566654,1.9265172661682596e-13,5.869571648589813,5.892081151125951
0.08843016160837079,1.961420101028036e-13,5.891598737532956,5.9121789351449925
0.08231939515874745,1.927407521426405e-13,5.911812371365952,5.931701298897097
0.07749281073675643,1.9083511636540544e-13,5.931379159236293,5.950835550467135
0.07228053598198284,1.9197417924653996e-13,5.950563251859154,5.969576773827273
0.06821265316254271,1.9919679329050717e-13,5.969343933967802,5.987977848486192
0.06606614669952546,1.967768173562184e-13,5.987779370061797,6.006174088638797
0.06376251844444046,1.9021654412290378e-13,6.005999112304684,6.023915250875921
0.06231994718540296,1.9667707509328368e-13,6.023751808293866,6.04093084224385
0.05951354372226169,1.9125645287642428e-13,6.040776319741719,6.056773952634883
0.05760467188012605,1.9461418568002586e-13,6.056633000398466,6.071898658858977
0.05437303662003439,1.9938513537877665e-13,6.071771388402879,6.08608355153307
0.051405720156723234,1.9370474511803297e-13,6.08597247000556,6.09957581396423
0.048033933242855424,1.9715063162304062e-13,6.099481293804844,6.112927426352905
0.045049909881570045,1.893732479730292e-13,6.112844639142276,6.1263044161877875
0.04327708804975901,1.9734106580544162e-13,6.126228029314093,6.139652133448274
0.04369074864300393,1.9192877117674876e-13,6.139574215322454,6.152426360547938
0.04498826567589915,2.0101220730165163e-13,6.152345224922635,6.164086771869346
0.04488697361855821,1.946082915476696e-13,6.164009816071666,6.174785560244661
0.04164719193454326,1.9107561074606703e-13,6.174721868203172,6.18503373825887
0.03761556078052909,1.95605079458516e-13,6.18498039480333,6.194976390615832
0.035225124531112637,1.9557341678412475e-13,6.194927416770153,6.204524700582525
0.03338941926505403,1.9564101837100044e-13,6.204481398127873,6.213919302860339
0.03290539527887652,2.023510628705264e-13,6.213878982921665,6.223161211306604
0.033445170303706244,1.9723786736657242e-13,6.223121794407698,6.2320804990294345
0.033534141591216184,1.941996927059961e-13,6.232042227750951,6.2407420942009715
0.03263851540159309,1.966931758725099e-13,6.24070662235009,6.249254479745562
0.031551455279568714,1.9492284769656712e-13,6.249220696344278,6.257530363424691
0.030576704306519265,1.8979337254095773e-13,6.257498517145979,6.265571039239686
0.02943203670837585,1.948000879511363e-13,6.265540435185407,6.273273457470183
0.02894935644827123,1.9638188741593754e-13,6.273246500748552,6.280933282325211
0.028724745154972052,1.9033289481131724e-13,6.280908698619375,6.288568366507862
0.027915070953113304,1.9245513811767245e-13,6.288545029413109,6.296036344154501
0.02716014735479033,1.94375952094335e-13,6.296012488212862,6.303230497870276
0.026311872144998895,2.0066186101221168e-13,6.303207330563951,6.310205167686627
0.02493165889125362,1.925936849379421e-13,6.3101832625990895,6.316807365183769
0.02395072881478004,1.9845994778345998e-13,6.316786223309925,6.323071310288435
0.023434531168080315,1.932139204045728e-13,6.323051174659878,6.329120019475765
0.023761632160765635,1.945912481427457e-13,6.329099981231217,6.3348220405133775
0.024038144354285487,1.9515721958883635e-13,6.334802909016791,6.340218423608239
0.024102625763426144,1.9419410107263896e-13,6.340200831917088,6.345468810044498
0.02334420281850332,1.9365377600579417e-13,6.345453153545187,6.350742611115701
0.022836907353621344,2.0038465634088262e-13,6.35072741556944,6.355995122388045
0.02293054108720845,1.9873356833069922e-13,6.355979870300495,6.361160393605621
0.020322327461603035,1.934288656245083e-13,6.361145759338078,6.36631064819054
0.019470465264901624,2.0610232868633086e-13,6.3662974471726645,6.371475792922423
0.018691989131673605,1.9518883817548875e-13,6.371463425559682,6.376546536989422
0.01793767773432644,1.991930834900228e-13,6.376534910739145,6.381407822222775
0.017839692650976076,1.9649378010071028e-13,6.381396907148259,6.386084216464436
0.018234448754603363,1.9659950613666402e-13,6.386072992022956,6.390532206725464
0.018491427090670788,1.9621685456004852e-13,6.390521231601098,6.394856686689481
0.018753684665901407,2.0432310281674424e-13,6.394845818849573,6.399027438706492
0.018935063047103597,1.9440570354996646e-13,6.399016609205341,6.403092927572789
0.018946781327424438,1.961478749540546e-13,6.403082330393461,6.4071087356325975
0.018714407916483992,1.874282858625426e-13,6.407098220544655,6.4110169835366815
0.018234004973064547,2.0059829243577803e-13,6.411006930073459,6.414781299086337
0.017508354178890465,1.9297618336976704e-13,6.414771859230331,6.418423370462571
0.017075924006999997,1.9112100023381632e-13,6.418414707338137,6.421953802953623
0.016621912335523337,1.94722931857108e-13,6.421945242482192,6.425363254136509
0.016071953106817166,1.973884766493549e-13,6.425355182441214,6.428695229884438
0.015824263655416664,1.9891105535115938e-13,6.42868701601851,6.43190500930739
0.01580599228057488,1.9739781308976854e-13,6.431896803464341,6.435023701088617
0.015740025236858066,1.937693404432532e-13,6.435015722994016,6.438042451626112
0.01568374820047707,1.9844436328388475e-13,6.4380349297400885,6.4409953033051615
0.01522095564561522,1.9892702509739036e-13,6.4409881694331235,6.44388224135974
0.015111922686948432,1.9490236517480643e-13,6.443875115801306,6.4467100304231
0.014935616062857827,1.9101499221778642e-13,6.446703089176788,6.449557156391553
0.014589401858424408,1.9555064470163007e-13,6.449550497337994,6.45241618534183
0.014265763469957018,1.9592307285524527e-13,6.4524098220223,6.455264201571673
0.01379918440794071,2.0007451718311528e-13,6.455258313837185,6.4581250461809345
