m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time,factor
100,50,25,4758,223.0573221337084,2537,182.35555759557806,48,0.2281648,8.756283389439413e-6
200,100,50,18818,609.1346112964624,10713,504.8904133727669,99,2.6559825,9.643297108509374e-6
300,150,75,42162,1003.0002487815082,23823,816.2537295524086,147,4.6594111,9.181896469136277e-6
400,200,100,75400,1528.7476328586058,43272,1246.5846491881666,198,10.8301575,9.10097686780051e-6
500,250,125,117298,2122.9663634564267,65450,1736.1713469956258,250,20.6578623,9.789956325404153e-6
1000,500,250,465310,5580.399732791002,265421,4541.691768108219,499,58.9678154,8.885069614745028e-6
2000,1000,500,1840314,13737.370761761711,1016404,11002.758036420591,1000,228.6648869,8.098846700143243e-6
3000,1500,750,4086807,23888.77023017484,2229697,19076.889100948832,1499,473.4718106,8.295952715901719e-6
4000,2000,1000,7223207,34999.29109109842,3857145,28058.731688554442,1999,803.3417826,8.712173703919779e-6
5000,2500,1250,11204577,47656.65689150685,6038607,38046.85371471527,2498,1053.2806361,8.242594810908425e-6
