m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,100,0.96592,0.5081608229953455,0.822082305940965,1.8960000000000001,1.34745792
120,60,30,100,0.9653333333333333,0.5061849979981845,0.8182693639255236,1.9266666666666665,7.7288060000000005
140,70,35,100,0.9742040816326529,0.5111516678950123,0.823321673414141,1.9257142857142857,14.03240508
160,80,40,100,0.9644999999999999,0.5095739313769084,0.820263586927821,1.9150000000000003,13.64437126
180,90,45,100,0.969111111111111,0.5116776885267409,0.8183179795334592,1.9333333333333336,17.38749884
200,100,50,100,0.96806,0.5119947490321067,0.8210898400036426,1.9439999999999997,20.142998580000004
220,110,55,100,0.971206611570248,0.5128861594939245,0.8178943644959376,1.9709090909090907,23.343606819999998
240,120,60,100,0.9627777777777778,0.5088878293295431,0.8192801270953918,1.9633333333333334,23.07654076
260,130,65,100,0.9728875739644971,0.5151837428799123,0.8170176696413252,1.9415384615384617,22.12757656
280,140,70,100,0.9675816326530613,0.5114928697083844,0.8201204940294277,1.9600000000000002,25.47167098
300,150,75,100,0.9692799999999998,0.514371536806474,0.8209107530241224,1.9626666666666668,28.1179118
320,160,80,100,0.9678515624999999,0.5127357682849318,0.8205526182094728,1.9725000000000001,26.09636094
340,170,85,100,0.9691764705882353,0.5140358840320377,0.8185953813224947,1.9741176470588235,28.257758059999997
360,180,90,100,0.9717839506172841,0.5167603910116324,0.8119196110617557,1.9622222222222223,30.873206040000003
380,190,95,100,0.9678171745152355,0.5141756335023925,0.8142721515715902,1.972631578947368,30.707867899999997
400,200,100,100,0.9725150000000001,0.5162030122703152,0.8150538539196172,1.968,29.6795409
420,210,105,100,0.9728843537414967,0.5170197320494072,0.8125270368426356,1.9695238095238097,32.50218348
440,220,110,100,0.971706611570248,0.5173713624636248,0.8118015276628476,1.9636363636363636,31.95881592
460,230,115,100,0.9696710775047259,0.5160896630166444,0.8104578513809017,1.9756521739130435,33.050136339999995
480,240,120,100,0.9734409722222223,0.5192004215621118,0.8140581562029242,1.9616666666666667,37.93639194
500,250,125,100,0.9717984,0.5179179286240851,0.8168396846621852,1.9616,36.05198016
520,260,130,100,0.9716272189349112,0.5193754319905155,0.8122357186741306,1.9815384615384617,63.79015400000001
540,270,135,100,0.9696515775034295,0.5167374820494567,0.8071982741286157,1.9659259259259259,67.35029664
560,280,140,100,0.966966836734694,0.5150621626297459,0.8093239746121291,1.9614285714285713,72.45112348
580,290,145,100,0.9721831153388824,0.5191084381659379,0.8118398021989099,1.9793103448275862,72.42644764
600,300,150,100,0.9694044444444444,0.5172567892233797,0.809369205730956,1.9826666666666668,78.17052516
60,30,15,100,0.9646666666666667,0.503378681026863,0.8337303316257095,1.8933333333333333,0.5048761799999999
80,40,20,100,0.96225,0.5043104228773716,0.8249467240935235,1.95,0.7001325199999999
