res,Hh_norm,H_norm
0.7737546905991801,5.310701440174429,5.778918373147286
0.14676018444333844,5.7767886558412975,5.801601352533679
0.1172988002901548,5.800414798649448,5.8248892069448255
0.11084642485624698,5.823951622227732,5.847265468884088
0.10127325077512338,5.8466013500431195,5.870130811354766
0.09508686244566654,5.869571648589813,5.892081151125951
0.08843016160837079,5.891598737532956,5.9121789351449925
0.08231939515874745,5.911812371365952,5.931701298897097
0.07749281073675643,5.931379159236293,5.950835550467135
0.07228053598198284,5.950563251859154,5.969576773827273
0.06821265316254271,5.969343933967802,5.987977848486192
0.06606614669952546,5.987779370061797,6.006174088638797
0.06376251844444046,6.005999112304684,6.023915250875921
0.06231994718540296,6.023751808293866,6.04093084224385
0.05951354372226169,6.040776319741719,6.056773952634883
0.05760467188012605,6.056633000398466,6.071898658858977
0.05437303662003439,6.071771388402879,6.08608355153307
0.051405720156723234,6.08597247000556,6.09957581396423
0.048033933242855424,6.099481293804844,6.112927426352905
0.045049909881570045,6.112844639142276,6.1263044161877875
0.04327708804975901,6.126228029314093,6.139652133448274
0.04369074864300393,6.139574215322454,6.152426360547938
0.04498826567589915,6.152345224922635,6.164086771869346
0.04488697361855821,6.164009816071666,6.174785560244661
0.04164719193454326,6.174721868203172,6.18503373825887
0.03761556078052909,6.18498039480333,6.194976390615832
0.035225124531112637,6.194927416770153,6.204524700582525
0.03338941926505403,6.204481398127873,6.213919302860339
0.03290539527887652,6.213878982921665,6.223161211306604
0.033445170303706244,6.223121794407698,6.2320804990294345
0.033534141591216184,6.232042227750951,6.2407420942009715
0.03263851540159309,6.24070662235009,6.249254479745562
0.031551455279568714,6.249220696344278,6.257530363424691
0.030576704306519265,6.257498517145979,6.265571039239686
0.02943203670837585,6.265540435185407,6.273273457470183
0.02894935644827123,6.273246500748552,6.280933282325211
0.028724745154972052,6.280908698619375,6.288568366507862
0.027915070953113304,6.288545029413109,6.296036344154501
0.02716014735479033,6.296012488212862,6.303230497870276
0.026311872144998895,6.303207330563951,6.310205167686627
0.02493165889125362,6.3101832625990895,6.316807365183769
0.02395072881478004,6.316786223309925,6.323071310288435
0.023434531168080315,6.323051174659878,6.329120019475765
0.023761632160765635,6.329099981231217,6.3348220405133775
0.024038144354285487,6.334802909016791,6.340218423608239
0.024102625763426144,6.340200831917088,6.345468810044498
0.02334420281850332,6.345453153545187,6.350742611115701
0.022836907353621344,6.35072741556944,6.355995122388045
0.02293054108720845,6.355979870300495,6.361160393605621
0.020322327461603035,6.361145759338078,6.36631064819054
0.019470465264901624,6.3662974471726645,6.371475792922423
0.018691989131673605,6.371463425559682,6.376546536989422
0.01793767773432644,6.376534910739145,6.381407822222775
0.017839692650976076,6.381396907148259,6.386084216464436
0.018234448754603363,6.386072992022956,6.390532206725464
0.018491427090670788,6.390521231601098,6.394856686689481
0.018753684665901407,6.394845818849573,6.399027438706492
0.018935063047103597,6.399016609205341,6.403092927572789
0.018946781327424438,6.403082330393461,6.4071087356325975
0.018714407916483992,6.407098220544655,6.4110169835366815
0.018234004973064547,6.411006930073459,6.414781299086337
0.017508354178890465,6.414771859230331,6.418423370462571
0.017075924006999997,6.418414707338137,6.421953802953623
0.016621912335523337,6.421945242482192,6.425363254136509
0.016071953106817166,6.425355182441214,6.428695229884438
0.015824263655416664,6.42868701601851,6.43190500930739
0.01580599228057488,6.431896803464341,6.435023701088617
0.015740025236858066,6.435015722994016,6.438042451626112
0.01568374820047707,6.4380349297400885,6.4409953033051615
0.01522095564561522,6.4409881694331235,6.44388224135974
0.015111922686948432,6.443875115801306,6.4467100304231
0.014935616062857827,6.446703089176788,6.449557156391553
0.014589401858424408,6.449550497337994,6.45241618534183
0.014265763469957018,6.4524098220223,6.455264201571673
0.01379918440794071,6.455258313837185,6.4581250461809345
0.013277250003592894,6.458119611340138,6.460978550159414
0.013120747716231727,6.460973191833315,6.463797736589577
0.013215246064032902,6.463792403434087,6.466607583563467
0.013325307222780929,6.466602161895065,6.469406592724551
0.013602198147617955,6.469400951713721,6.472166830849714
0.013697529934706847,6.472161033231935,6.474862461161032
0.013561401862747227,6.474856836720429,6.477485394848213
0.013414753761196867,6.477479848150047,6.479987039109417
0.013204567794144657,6.479981838437142,6.482445954663384
0.011765148961024308,6.482441480195932,6.484851779510162
0.010898452501353918,6.484847995008427,6.4872662315542255
0.010539507801684951,6.487262648701768,6.489646428371315
0.010535682301930326,6.48964290345366,6.4919920011492
0.01063723937071458,6.491988429514131,6.494282230175506
0.010817165634082587,6.494278498220552,6.496487515369573
0.010824809619834072,6.496483881690939,6.498657779621985
0.010737819296697591,6.498654266231258,6.500772882996497
0.010618347942001906,6.500769493256288,6.5028652513073775
0.010443934370324698,6.5028619262320815,6.50497304989253
0.010264437487496189,6.504969746365999,6.507065810256503
0.010153781751684922,6.507062479645938,6.509111674583693
0.010122660346834374,6.509108384372195,6.511112184595698
0.010181626772406194,6.5111089932896276,6.513073462273628
0.010404165281358922,6.513070227303659,6.514963966868479
0.010539227698591737,6.514960820406035,6.516765044484951
0.010678418598006684,6.516761781569423,6.518415576712809
0.010594015934677384,6.518412554920711,6.519966881750419
0.010342499317272519,6.519964051468554,6.521475312952401
0.00998637729885986,6.521472636594885,6.52295690589729
0.009611512384535652,6.522954287987695,6.524386353700801
0.008986128049731697,6.524383970308933,6.525765937391084
0.00858723026832056,6.525763657081087,6.527101921576823
0.008553912061986375,6.52709964248482,6.52840292796423
0.008802445458710489,6.528400568216789,6.529678912359687
0.009073782766992045,6.529676460738455,6.53095134769839
