m,n,r,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,0.9643200000000001,0.5073186164825599,0.8220802593013848,1.8960000000000001,2.02526802
120,60,30,0.9635555555555555,0.5052523255676705,0.8182677707000542,1.9266666666666665,13.521798959999998
140,70,35,0.9726122448979592,0.5103162616716539,0.8233195247183559,1.9257142857142857,26.25126616
160,80,40,0.962875,0.5087148828097807,0.8202613919928536,1.9150000000000003,25.54266838
180,90,45,0.9677037037037037,0.5109344814708905,0.8183157032198272,1.9333333333333336,33.27950077999999
200,100,50,0.9665800000000001,0.5112119922779188,0.8210866186790644,1.9439999999999997,42.97121008
220,110,55,0.969900826446281,0.5121961390325018,0.8178912074770601,1.9709090909090907,53.70516164000001
240,120,60,0.9620138888888888,0.5084839802762412,0.8192771536754397,1.9633333333333334,45.91777852
260,130,65,0.9720828402366865,0.5147574185792291,0.8170142624586401,1.9415384615384617,44.85379736
280,140,70,0.966938775510204,0.5111528360260729,0.8201171763020086,1.9600000000000002,50.80130246
300,150,75,0.9683911111111112,0.5138999436023927,0.820907008948633,1.9626666666666668,58.73395192
320,160,80,0.9669218749999999,0.5122432603711043,0.8205483736069246,1.9725000000000001,57.777840360000006
340,170,85,0.968484429065744,0.5136688727982086,0.8185910945780309,1.9741176470588235,62.07453594
360,180,90,0.9710185185185185,0.5163534280477553,0.8119152627356225,1.9622222222222223,65.9753918
380,190,95,0.9670470914127425,0.5137664572236489,0.814267836098266,1.972631578947368,70.1900093
400,200,100,0.97188,0.5158660475946703,0.8150489618905565,1.968,65.55550414000001
420,210,105,0.9723356009070295,0.5167283342821907,0.8125220897642306,1.9695238095238097,67.97441336
440,220,110,0.9711818181818181,0.5170922301878509,0.8117960381670173,1.9636363636363636,66.38760308
460,230,115,0.9690775047258979,0.5157737003309097,0.8104521146976303,1.9756521739130435,71.3643227
480,240,120,0.9729930555555557,0.5189617271707956,0.8140526529624086,1.9616666666666667,79.14522732
500,250,125,0.9713568,0.5176826030955255,0.8168335220024877,1.9616,82.38422724
520,260,130,0.9712899408284024,0.5191952190538869,0.8122297558120275,1.9815384615384617,155.15151625999997
540,270,135,0.969366255144033,0.516585605279517,0.8071922220861758,1.9659259259259259,159.84303186
560,280,140,0.9665892857142857,0.5148610716514017,0.8093179476132816,1.9614285714285713,163.04712841999998
580,290,145,0.9718121284185492,0.5189104527665137,0.8118330562922207,1.9793103448275862,170.92091436
600,300,150,0.9691888888888889,0.5171416957058511,0.8093623150997127,1.9826666666666668,175.20673858
60,30,15,0.9642222222222223,0.5031623416120918,0.833729271720569,1.8933333333333333,0.52139128
80,40,20,0.9606250000000001,0.5034581861837826,0.8249449347604692,1.95,1.1499895800000002
