m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,50,25,4758,223.0573221,2418,182.3401234,47,3.312133
200,100,50,18818,609.1346113,9781,504.8467089,95,46.9511715
300,150,75,42162,1003.000249,21995,816.1677942,142,659.2758665
400,200,100,75400,1528.747633,38876,1246.402801,196,798.0048461
500,250,125,117298,2122.966363,60573,1735.92688,249,883.6463521
1000,500,250,465310,5580.399733,-1,-1,-1,-1
2000,1000,500,1840314,13737.37076,-1,-1,-1,-1
3000,1500,750,4086807,23888.77023,-1,-1,-1,-1
4000,2000,1000,7223207,34999.29109,-1,-1,-1,-1
5000,2500,1250,11204577,47656.65689,-1,-1,-1,-1
