m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,50,25,4758,223.0573221,3732,194.2757502,25,0.996662
200,100,50,18818,609.1346113,14956,539.7059795,50,15.5502559
300,150,75,42162,1003.000249,33729,868.1926935,75,36.5889017
400,200,100,75400,1528.747633,64207,1339.898997,100,66.660064
500,250,125,117298,2122.966363,100776,1870.64065,125,99.6689993
1000,500,250,465310,5580.399733,409565,4886.779225,250,497.8345202
2000,1000,500,1840314,13737.37076,1624091,11781.77876,500,2386.703682
3000,1500,750,4086807,23888.77023,3693827,20459.25179,750,4593.562165
4000,2000,1000,7223207,34999.29109,-1,-1,-1,-1
5000,2500,1250,11204577,47656.65689,-1,-1,-1,-1
