res,H_norm_0,H_norm_1,time
13.886442694148089,2.4512124e7,53650.64738185031,18.960000038146973
7.481871409049446,2.4577119e7,52849.46760849269,23.06500005722046
5.440776775375324,2.4552233e7,51975.99829322382,26.907999992370605
4.363113984695542,2.4504037e7,50613.47652133628,31.382000207901
3.6687883724018278,2.4454824e7,49675.90626096795,35.72200012207031
3.1730757021109324,2.4409124e7,49062.6920810695,39.795000076293945
2.7993969313227614,2.4365427e7,48621.5609723863,43.759000062942505
2.5056190951505624,2.4323417e7,48273.19254084996,47.76400017738342
2.2678630601017367,2.4281816e7,47986.15421611605,51.60700011253357
2.0710832351345223,2.4239351e7,47740.66061326462,55.724000215530396
1.9054616205444974,2.4198303e7,47527.243295765074,59.52500009536743
1.763528279673181,2.415707e7,47339.312039628945,63.884000062942505
1.6406285345275085,2.4117e7,47174.112629202245,67.93500018119812
1.5329033116748403,2.4078079e7,47028.227050414214,72.44100022315979
1.43778590210122,2.4037305e7,46897.97827975286,76.60500001907349
1.3530788281024368,2.3997515e7,46781.5131498282,80.7960000038147
1.27692637725442,2.3956657e7,46675.70367247882,84.82400012016296
1.2082678106764817,2.3916817e7,46579.39799218973,88.75400018692017
1.1459809817560829,2.3876514e7,46491.01623737928,92.65100002288818
1.0892502054484203,2.3838816e7,46409.933867519925,96.9150002002716
1.037404328312896,2.3795434e7,46335.98337372263,101.12700009346008
0.9898980942918981,2.3756113e7,46267.63284039597,105.4079999923706
0.9461779832335536,2.371206e7,46204.25710518528,109.44600009918213
0.905655366848734,2.3671828e7,46146.014018209775,113.24000000953674
0.86806109500167,2.3631943e7,46092.17340381838,117.14100003242493
0.8330588031719212,2.3593381e7,46041.844623184224,121.30200004577637
0.8004438265002758,2.354913e7,45994.358553631464,125.7480001449585
0.7700765028914349,2.3509694e7,45950.08992878722,129.6560001373291
0.7415811528605795,2.3470385e7,45908.6560242742,133.70500016212463
0.7148363550373433,2.3427725e7,45869.501563124715,138.04900002479553
0.6896423848187628,2.3386494e7,45832.591375577875,142.4960000514984
0.6660309232448011,2.3346722e7,45797.64782151652,146.37800002098083
0.6436880112960583,2.3304068e7,45764.60906199059,150.5400002002716
0.6225901543439284,2.3260956e7,45733.43705925478,154.39600014686584
0.6026801914513147,2.3219234e7,45703.972037649364,158.27300000190735
0.5838961655302136,2.3178127e7,45676.03392227451,162.76700019836426
0.5661872323085478,2.3135798e7,45649.39982808405,167.22500014305115
0.549401260547041,2.3093447e7,45624.03680652558,171.37000012397766
0.533461676960487,2.3051298e7,45599.787472789816,175.18500018119812
0.518299205085553,2.3006657e7,45576.67808804302,179.40300011634827
0.5038261943622835,2.2962217e7,45554.64692525889,183.77700018882751
0.4900183669300311,2.2919454e7,45533.46113936944,187.97800016403198
0.47689473591194076,2.2876858e7,45513.07879877857,192.29300022125244
0.4643430860617255,2.283602e7,45493.50706899784,196.65700006484985
0.45235815010744684,2.2788108e7,45474.74774931728,200.83900022506714
0.4408501113987396,2.2743518e7,45456.757973426626,205.05000019073486
0.42989297342988164,2.2699446e7,45439.59263996198,208.8510000705719
0.419392791232077,2.2654866e7,45423.1567737101,212.89800000190735
0.409344231487029,2.2610482e7,45407.37918297286,217.3860001564026
0.39969971939106286,2.2566386e7,45392.17279087366,221.4210000038147
0.39043782283247475,2.2520706e7,45377.55935362206,225.20600008964539
0.3815522705774328,2.247644e7,45363.71606611544,229.375
0.37298198396467863,2.2429335e7,45350.48181296461,233.49000000953674
0.36474659166371637,2.2383233e7,45337.85572593377,237.4670000076294
0.3567879119948501,2.2340483e7,45325.732611378546,242.114000082016
0.34910810899964134,2.2293723e7,45313.88941282787,246.2590000629425
0.34172731433941506,2.224872e7,45302.435623405094,250.55800008773804
0.3346308510887883,2.2202626e7,45291.36792712639,254.40300011634827
0.32778515742090525,2.2157833e7,45280.63552899007,258.279000043869
0.3211653047223682,2.2111041e7,45270.20599227557,262.2810001373291
0.3147670584949894,2.2064903e7,45260.037152365796,266.07400012016296
0.3085929803532794,2.2018027e7,45250.23801734225,269.9340000152588
0.3026167829529731,2.1970121e7,45240.73839903364,273.7000000476837
0.29683344441227333,2.192354e7,45231.58931205195,277.6760001182556
0.2912411043871829,2.1877878e7,45222.77981835893,282.07100009918213
0.28579659507819277,2.1831117e7,45214.182125096806,286.75300002098083
0.2805290253760785,2.1784442e7,45205.80561331974,291.28400015830994
0.2754334647193317,2.1738359e7,45197.667532589214,295.585000038147
0.270494774681058,2.1692054e7,45189.75927844321,300.210000038147
0.2657062353270336,2.1641865e7,45182.01042591627,304.5620000362396
0.2610712528230221,2.1594834e7,45174.48996344518,308.9230000972748
0.25656613125542804,2.1549296e7,45167.24922043321,313.2640001773834
0.2521994675001716,2.1501905e7,45160.23305417351,317.71200013160706
0.24795629232785305,2.1451545e7,45153.463190559065,321.5350000858307
0.24382401210023563,2.1404414e7,45146.919842532436,325.382000207901
0.23980375777524407,2.1355489e7,45140.543413013525,329.2520000934601
0.23588348159244574,2.1308068e7,45134.35273331471,333.257000207901
0.2320706718082076,2.1260285e7,45128.35473614317,337.2660000324249
0.2283701178899473,2.1213464e7,45122.44036260496,340.96200013160706
0.22477725318442676,2.1165499e7,45116.67917680086,345.4150002002716
0.2212592577532891,2.111732e7,45111.05415933189,350.10000014305115
0.21783411533610927,2.1067607e7,45105.58000467071,354.03200006484985
0.21450005432044555,2.1019141e7,45100.21235434489,357.96200013160706
0.21124445579859844,2.0969187e7,45094.96794011713,362.6100001335144
0.2080737098206174,2.0920094e7,45089.861911006075,366.85199999809265
