pri_res,dual_res,H_norm_0,H_norm_1,time
38.64228050080025,7.188536339434769,2.0838915e7,50161.220272907405,19.67899990081787
34.17162272029089,14.016280385947198,2.3757923e7,52888.961332734696,22.282000064849854
31.158591245226894,14.994146012386228,2.4450541e7,59669.46736593334,24.706000089645386
28.42659932340709,17.23686829122423,2.4543947e7,61652.162021371776,27.15499997138977
26.133459466878215,18.260052126176134,2.4582297e7,62552.74549490721,29.56500005722046
24.291254348939535,17.90996407439266,2.4608166e7,63410.610257453445,31.984999895095825
22.736745987348094,17.001074404806822,2.4626452e7,63922.00726570624,34.44000005722046
21.38352530366563,16.005010060161723,2.4636431e7,63982.04507088264,36.79800009727478
20.17297753457847,15.217176298254824,2.4640348e7,63731.03041606334,39.11899995803833
19.084653761532838,14.580879498699392,2.4642411e7,63297.02014757956,41.430999994277954
18.127506347548554,13.924347304614638,2.4645397e7,62846.55731234011,44.30200004577637
17.275284421011744,13.291226213940018,2.4645589e7,62347.71252146054,46.83999991416931
16.509224447360587,12.661863766997824,2.4645431e7,61845.86699569298,49.26600003242493
15.813938215644052,12.101549455303356,2.4643535e7,61355.97533961602,51.71199989318848
15.175976448972449,11.590928768776141,2.4641679e7,60871.59773204275,54.151999950408936
14.594296762957217,11.097386149192229,2.4639718e7,60396.78163079363,56.621999979019165
14.060335131248243,10.632728151204905,2.4639312e7,59942.28722760839,59.05800008773804
13.56867928593703,10.204545198575374,2.463786e7,59508.18107394697,61.37400007247925
13.11248710475034,9.811063449151366,2.4635836e7,59079.2215271231,63.670000076293945
12.688458609072589,9.448108343279822,2.463325e7,58673.5302145061,66.44000005722046
12.289455358607293,9.12474558633283,2.4630911e7,58280.53863544074,69.09999990463257
11.917543686017947,8.808241899370211,2.4628911e7,57914.44711956097,71.92700004577637
11.57254830640043,8.485924036353879,2.4626966e7,57577.85088987166,74.35400009155273
11.24986989022857,8.174227744605995,2.4624739e7,57256.37578793969,76.79500007629395
10.943987552703993,7.90157857135593,2.4623603e7,56945.51567621551,79.20600008964539
10.653899402723292,7.652733296411851,2.4619886e7,56640.10627026489,81.65899991989136
10.380279063281574,7.417690322348951,2.4618831e7,56348.93641375581,84.07999992370605
10.121882802243636,7.187853071057488,2.4615581e7,56072.34488531919,86.50999999046326
9.876080132685692,6.9798303229866505,2.4612931e7,55809.6706844338,88.87700009346008
9.64167438476803,6.793660848975379,2.4610807e7,55553.48841799085,91.16799998283386
9.420284900304132,6.598144090508152,2.4609413e7,55313.79041155116,93.5
9.210540520037489,6.408698055464198,2.4606044e7,55083.28353286622,95.76099991798401
9.009541845766503,6.23219778075235,2.4601728e7,54860.99890800341,98.04800009727478
8.816965002112598,6.067258863586035,2.4599803e7,54647.53410836759,100.37199997901917
8.63374757751243,5.903756790477802,2.4598988e7,54444.82671127182,102.62199997901917
8.45806488005982,5.747854784725565,2.4596295e7,54250.70669058198,104.90899991989136
8.289186027053361,5.6046819589848935,2.4595127e7,54063.95506078375,107.15400004386902
8.127519727266337,5.461799156068009,2.4592472e7,53884.93236589856,109.67000007629395
7.972416795415099,5.329424763196977,2.4589998e7,53713.17356401829,112.61899995803833
7.822839513839977,5.206786803521723,2.4587638e7,53545.18582785688,114.98600006103516
7.679008432520689,5.088396993473941,2.4584472e7,53383.31409898826,117.42799997329712
7.5418035997985475,4.970227802590196,2.4582718e7,53228.907291605195,119.72399997711182
7.410818274835025,4.849641861868399,2.4580332e7,53080.2942417821,122.53900003433228
7.284475380566082,4.737307834566205,2.4578785e7,52936.255510370596,125.19400000572205
7.161143102564751,4.6409604887027145,2.4575181e7,52793.14691554891,127.60500001907349
7.042160089622939,4.5459293507104075,2.4573048e7,52655.858955431366,130.13100004196167
6.928050914910297,4.449413402486555,2.4569507e7,52527.14957685874,132.84500002861023
6.818250708785628,4.3551421560340735,2.4569511e7,52403.092084875985,135.1449999809265
6.712344287862665,4.262493046825143,2.4566723e7,52282.728238018506,137.46600008010864
6.6094783733883276,4.177661880694494,2.4563043e7,52166.501355040695,139.71000003814697
6.5097195652039535,4.096661235803423,2.456193e7,52051.33198322739,141.9210000038147
6.4131418819059265,4.018054003139449,2.4559196e7,51941.37685654768,144.34299993515015
6.31940891288345,3.9416778234149006,2.4557058e7,51833.95985716312,147.0920000076294
6.228903791154719,3.867227685114826,2.455505e7,51729.2572162324,149.50999999046326
6.141114956101052,3.796249673220518,2.455234e7,51626.862309635166,151.9430000782013
6.055889238852475,3.7316494299199663,2.4550875e7,51526.44363295205,154.2699999809265
5.972751274447063,3.6692940694376763,2.4548026e7,51430.98600632783,156.6930000782013
5.892300654263526,3.6037877052978633,2.4545588e7,51339.05301806172,159.02800011634827
5.814839272192858,3.5355359394503227,2.4541844e7,51251.452449314624,161.88100004196167
5.739204385730027,3.471721134989542,2.4540482e7,51166.19398787822,164.34800004959106
5.665371298291379,3.414067464032253,2.4538026e7,51082.20830820513,166.81100010871887
5.593564347114403,3.3580793502304465,2.45352e7,51000.06405823001,169.23399996757507
5.52354426608856,3.3047963088706283,2.4533078e7,50920.467511471914,171.6600000858307
5.454804176140811,3.2562147362069065,2.4531369e7,50841.93221207137,174.10899996757507
5.3877533816418,3.2107456477699214,2.4529645e7,50765.27215067339,176.47000002861023
5.32228818353979,3.1650686694652537,2.4526803e7,50691.0009472385,178.9800000190735
5.258770110513315,3.116659888184354,2.4524728e7,50619.01392784615,181.6619999408722
5.197383252727346,3.0673804476890556,2.4521861e7,50549.570933127485,184.09800004959106
5.137304148717367,3.0223458697308647,2.452091e7,50481.74905430594,186.51200008392334
