m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,100,25,9235,277.6714348974361,4766,246.30130008039043,98,0.5979036
200,200,50,37538,717.8311219428895,19193,630.2210203675444,198,3.3235102
300,300,75,84001,1166.206241587404,41975,1029.8267425633524,297,8.0576436
400,400,100,148517,1865.2091096182394,74832,1647.642940047605,395,20.0287134
500,500,125,228510,2280.9093048998366,113753,2027.7547686735554,494,26.8929684
1000,1000,250,896716,5780.959688177155,439108,5135.774505096758,994,108.2749394
2000,2000,500,3526868,14946.221557092958,1703138,13259.527875476966,1992,338.3567971
3000,3000,750,7797905,26413.35558516379,3790186,23487.117403455177,2990,684.4139078
4000,4000,1000,13768556,39195.00788520589,6658442,34795.47256027512,3983,1231.3377793
5000,5000,1250,20838915,50161.22027290741,10261421,44757.01686593811,4989,2110.1586653
