m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time,factor
100,100,25,9235,277.6714348974361,5119,246.30369375165748,98,1.3212854,9.718467853243574e-6
200,200,50,37538,717.8311219428895,19907,630.2270838921228,198,9.0397873,9.62126679757201e-6
300,300,75,84001,1166.206241587404,43485,1029.836617389918,297,19.9804396,9.588823204486554e-6
400,400,100,148517,1865.2091096182394,77463,1647.6591811402054,395,68.7226924,9.857167597245038e-6
500,500,125,228510,2280.9093048998366,119071,2027.7748019194323,494,149.2710003,9.87952102808133e-6
1000,1000,250,896716,5780.959688177155,455517,5135.825492110146,994,676.2108812,9.927813874556697e-6
2000,2000,500,3526868,14946.221557092958,1746478,13259.641873724613,1991,3227.5648296,8.597459028527556e-6
3000,3000,750,7797905,26413.35558516379,3874963,23487.62457005327,2990,7203.9734579,2.1593394769655138e-5
4000,4000,1000,13768556,39195.00788520589,8606481,34824.80182923549,3984,7209.2054456,0.0008429047460000243
5000,5000,1250,20838915,50161.22027290741,17733555,44873.81942314626,4989,7217.67322,0.002609703804836125
