pri_res,dual_res,H_norm_0,H_norm_1,time
32.25958728535841,1.9980850909129194e-11,2.4512124e7,53650.64738185031,23.180999994277954
13.586066202624142,1.801682939608841e-11,2.4577119e7,52849.46760849269,32.06100010871887
9.086891116492414,1.780829634824272e-11,2.4552233e7,51975.99829322382,41.593000173568726
7.119904197445055,1.8321073573868127e-11,2.4504037e7,50613.47652133628,50.128000020980835
5.8946641321605115,1.896629217602429e-11,2.4454824e7,49675.90626096795,59.50800013542175
5.0308748009782285,1.9549680621608826e-11,2.4409124e7,49062.6920810695,68.12700009346008
4.392872468859522,2.0051060333379755e-11,2.4365427e7,48621.5609723863,77.11199998855591
3.9026248883413435,2.0482363649858257e-11,2.4323417e7,48273.19254084996,86.33300018310547
3.51313154158293,2.086082766819122e-11,2.4281816e7,47986.15421611605,94.88499999046326
3.1949152580734763,2.119983626089196e-11,2.4239351e7,47740.66061326462,103.98900008201599
2.9297217518889136,2.1503605694029233e-11,2.4198303e7,47527.243295765074,112.78200006484985
2.703968820592135,2.1781376214645356e-11,2.415707e7,47339.312039628945,122.28000020980835
2.509355474578766,2.203127322913857e-11,2.4117e7,47174.112629202245,131.44900012016296
2.339565329654106,2.2263727095853517e-11,2.4078079e7,47028.227050414214,140.28900003433228
2.19050161499635,2.2477201923092146e-11,2.4037305e7,46897.97827975286,148.87900018692017
2.0589025194147843,2.2674841624371256e-11,2.3997515e7,46781.5131498282,158.12600016593933
1.9417670995127763,2.2857447868007432e-11,2.3956657e7,46675.70367247882,167.88900017738342
1.8365916287745159,2.3031325890894525e-11,2.3916817e7,46579.39799218973,177.19500017166138
1.7410542280966272,2.3188985344891278e-11,2.3876514e7,46491.01623737928,186.8600001335144
1.6544340672646602,2.3342281200012335e-11,2.3838816e7,46409.933867519925,195.9190001487732
1.5757260847459265,2.348349637361583e-11,2.3795434e7,46335.98337372263,204.42300009727478
1.503508618288959,2.361522703009697e-11,2.3756113e7,46267.63284039597,212.9800000190735
1.4368056126239706,2.374275544757433e-11,2.371206e7,46204.25710518528,222.60300016403198
1.37545270093606,2.386234681064452e-11,2.3671828e7,46146.014018209775,232.27100014686584
1.3188017819386044,2.3977631178999655e-11,2.3631943e7,46092.17340381838,241.45100021362305
1.2659599986632049,2.4082745648036822e-11,2.3593381e7,46041.844623184224,250.88300013542175
1.2162310062554724,2.4183939797131664e-11,2.354913e7,45994.358553631464,260.5880000591278
1.1698173398224498,2.4281226288794675e-11,2.3509694e7,45950.08992878722,269.50100016593933
